A0053,A0054,A0055,A0056,A0057,A0058,A0059,A0060,A0061,A0062,A0063,A0064,A0065,A0067,A0068,A0069,A0070,A0071,A0072,A0073,A0074,A0075,A0077,A0079,A0080,A0081,A0083,A0085,A0087,A0088,A0089,A0091,A0093,A0095,A0096,A0097,A0098,A0100,A0102,A0104,A0105,A0107,A0109,A0111,A0112,A0114,A0116,A0118,A0119,A0121,A0123,A0125,A0126,A0127,A0129,A0130,A0131,A0132,A0133,A0134,A0135,A0136,A0137,A0138,A0139,A0140,A0141,A0142,A0143,A0144,A0145,A0146,A0147,A0149,A0150,A0151,A0153,A0154,A0156,A0157,A0158,A0159,A0160,A0161,A0162,A0163,A0164,A0165,A0166,A0167,A0168,A0169,A0170,A0171,A0173,A0174,A0175,A0176,A0177,A0178,A0179,A0180,A0181,A0182,A0183,A0184,A0185,A0186,A0187,A0188,A0189,A0190,A0191,A0192,A0193,A0194,A0195,A0196,A0197,A0198,A0199,A0200,A0201,A0202,A0203,A0204,A0205,A0225,A0226,A0227,A0228,A0229,A0230,AGE_P,ENRK12UG,F_A0053,F_A0054,F_A0055,F_A0056,F_A0057,F_A0058,F_A0059,F_A0060,F_A0061,F_A0062,F_A0063,F_A0064,F_A0065,F_A0067,F_A0068,F_A0069,F_A0070,F_A0071,F_A0072,F_A0073,F_A0074,F_A0075,F_A0077,F_A0079,F_A0080,F_A0081,F_A0083,F_A0085,F_A0087,F_A0088,F_A0089,F_A0091,F_A0093,F_A0095,F_A0096,F_A0097,F_A0098,F_A0100,F_A0102,F_A0104,F_A0105,F_A0107,F_A0109,F_A0111,F_A0112,F_A0114,F_A0116,F_A0118,F_A0119,F_A0121,F_A0123,F_A0125,F_A0126,F_A0127,F_A0129,F_A0130,F_A0131,F_A0132,F_A0133,F_A0134,F_A0135,F_A0136,F_A0137,F_A0138,F_A0139,F_A0140,F_A0141,F_A0142,F_A0143,F_A0144,F_A0145,F_A0146,F_A0147,F_A0149,F_A0150,F_A0151,F_A0153,F_A0154,F_A0156,F_A0157,F_A0158,F_A0159,F_A0160,F_A0161,F_A0162,F_A0163,F_A0164,F_A0165,F_A0166,F_A0167,F_A0168,F_A0169,F_A0170,F_A0171,F_A0173,F_A0174,F_A0175,F_A0176,F_A0177,F_A0178,F_A0179,F_A0180,F_A0181,F_A0182,F_A0183,F_A0184,F_A0185,F_A0186,F_A0187,F_A0188,F_A0189,F_A0190,F_A0191,F_A0192,F_A0193,F_A0194,F_A0195,F_A0196,F_A0197,F_A0198,F_A0199,F_A0200,F_A0201,F_A0202,F_A0203,F_A0204,F_A0205,F_A0225,F_A0226,F_A0227,F_A0228,F_A0229,F_A0230,GL_ACDM,GL_GRW,GL_HMRL,GL_LITCY,GL_MRL,GL_SKL,GL_WRK,MINENR,MINTCH,NAIS_MEM,NUMTCH,PGMTYPE,PRNEXPER,RACETH_P,REGION,RELIG,SBKGD_P,SCHLEVEL,SDLQ_P,SECTOR,STU_TCH,SURVEY,TCHEXPER,TUITIN,URBANIC,AFNLWGT,AREPWT1,AREPWT10,AREPWT11,AREPWT12,AREPWT13,AREPWT14,AREPWT15,AREPWT16,AREPWT17,AREPWT18,AREPWT19,AREPWT2,AREPWT20,AREPWT21,AREPWT22,AREPWT23,AREPWT24,AREPWT25,AREPWT26,AREPWT27,AREPWT28,AREPWT29,AREPWT3,AREPWT30,AREPWT31,AREPWT32,AREPWT33,AREPWT34,AREPWT35,AREPWT36,AREPWT37,AREPWT38,AREPWT39,AREPWT4,AREPWT40,AREPWT41,AREPWT42,AREPWT43,AREPWT44,AREPWT45,AREPWT46,AREPWT47,AREPWT48,AREPWT49,AREPWT5,AREPWT50,AREPWT51,AREPWT52,AREPWT53,AREPWT54,AREPWT55,AREPWT56,AREPWT57,AREPWT58,AREPWT59,AREPWT6,AREPWT60,AREPWT61,AREPWT62,AREPWT63,AREPWT64,AREPWT65,AREPWT66,AREPWT67,AREPWT68,AREPWT69,AREPWT7,AREPWT70,AREPWT71,AREPWT72,AREPWT73,AREPWT74,AREPWT75,AREPWT76,AREPWT77,AREPWT78,AREPWT79,AREPWT8,AREPWT80,AREPWT81,AREPWT82,AREPWT83,AREPWT84,AREPWT85,AREPWT86,AREPWT87,AREPWT88,AREPWT9,CNTLNUM,SCHCNTL
2,0,8,0,-8,2,2,1,2,2,2,2,2,1,4,5,3,3,2,3,4,4,5,4,1,3,2,5,5,1,3,1,5,5,1,3,1,1,5,5,2,1,5,5,2,1,5,5,3,1,5,3,1,1,3,2,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,5,5,5,3,3,3,3,4,4,2,3,5,2,1,1,1,1,1,2,2,2,100,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,2,2,2,2,2,3,3,3,1,2,3,2,4,-8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,1,1,2,2,3,1,2,4,4,3,15,1,18,B,9.03,6,8,4,2,.9875,1.0365,0,1.6605,2.3112,.9771,.9974,1.1395,.9526,1.2644,2.3414,1.0525,1.0364,1.2419,1.9391,1.1616,1.1068,1.1348,2.608,.9264,1.1466,1.1708,2.0462,1.0142,1.0274,3.7748,1.1088,.8969,0,.9475,1.3083,.9722,1.1646,2.117,1.7488,1.1362,1.0564,1.0191,1.3157,1.195,1.0705,1.0235,1.216,1.0865,.966,0,2.7719,1.0962,.881,1.3252,1.1405,1.2036,1.0283,1.0449,1.0604,.9669,1.2239,.9857,1.1524,0,1.1852,1.2094,1.2661,.9422,1.4795,.9529,1.0543,1.129,1.2608,1.3187,1.1368,1.1335,1.0038,0,0,1.1956,1.1851,1.7836,1.4837,.9968,1.0207,1.645,1.2957,1.1789,.9116,.9334,1.1286,1.0469,1.4491,109312,102850
3,0,17,3,1,2,1,1,2,2,2,2,1,2,7,9,3,3,2,3,4,4,1,5,3,4,3,1,5,4,3,1,1,5,4,4,1,1,1,5,1,1,2,5,2,1,2,5,5,1,3,5,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,2,2,5,4,4,4,2,3,2,3,3,2,3,1,2,2,1,2,2,2,2,50,1,1,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,3,2,4,-8,2,5,-9,0,0,0,0,0,2,0,0,2,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,1,-9,2,-9,-9,3,4,4,2,13,1,19,B,-9,6,20,-9,2,15.0238,35.4682,23.8255,19.5794,20.2355,25.5748,0,22.9989,23.9148,16.9779,0,17.9893,0,0,0,16.7944,26.9162,21.4921,17.7555,24.3949,0,22.4189,21.1548,0,0,0,0,0,14.5906,29.1376,21.5168,15.0133,20.439,0,16.6262,22.9872,62.6811,0,31.9861,26.8483,19.7931,0,23.8561,17.5323,17.2264,40.0176,30.3404,14.823,19.7482,20.6357,0,0,0,19.4989,23.1839,16.7556,28.6566,22.8885,0,14.9319,17.5299,33.4866,21.1866,0,56.2693,0,18.1306,0,39.8543,43.1808,0,34.3064,22.0962,17.1071,19.0518,0,45.7954,19.0916,17.4039,0,30.117,0,18.1075,51.1117,22.6957,16.6404,0,33.2327,0,110178,102795
6,5,8,15,1,1,2,1,2,2,1,2,2,9,7,4,2,4,3,4,2,3,3,4,4,4,2,3,4,4,4,2,2,5,4,4,2,1,3,5,3,1,3,5,3,1,4,5,4,1,4,5,3,3,2,2,4,3,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,2,4,4,5,4,4,2,2,5,3,3,4,4,1,1,1,1,1,2,1,1,80,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,4,2,2,3,2,3,3,2,4,3,4,1,4,-8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,2,2,3,1,11,4,4,2,14,2,19,B,12.23,6,23,3,1,1.8889,1.0417,1.5975,2.8085,4.3304,1.7847,0,1.5037,1.2555,3.1231,1.69,3.0363,2.0007,1.3514,1.6504,1.4146,1.4313,0,5.8768,1.6945,1.4227,2.3757,3.3274,1.5334,2.5056,6.1788,2.198,3.2126,0,2.9503,1.4305,2.0338,0,1.2945,1.0368,1.4025,1.1649,3.8962,1.6505,1.9402,2.2135,0,2.7723,1.1921,1.1006,2.914,.9798,1.2399,5.2874,2.2688,1.3795,0,1.148,1.0422,1.1835,2.2299,0,1.1493,1.3772,3.9431,1.639,1.9794,4.5976,1.4941,4.3187,1.1496,2.0176,2.7922,3.8517,2.0454,2.3272,2.5171,1.0514,4.0968,1.6189,0,1.5446,1.3345,2.5851,2.3788,2.5134,1.3913,0,1.3428,2.2588,1.3072,0,1.3224,1.9635,107614,106799
3,0,2,3,1,2,2,1,2,2,1,2,1,9,1,4,4,5,2,3,3,4,2,4,2,4,3,2,4,2,4,2,2,4,2,4,3,3,5,4,2,2,4,4,3,2,3,4,4,2,5,4,1,2,1,1,2,4,3,3,3,3,4,3,2,4,3,2,1,2,1,2,3,3,3,3,2,2,3,3,4,2,4,1,4,4,2,-8,-8,-8,-8,-8,-8,-8,80,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,4,1,3,3,3,4,3,4,4,2,1,1,4,-8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,2,3,1,3,4,4,2,8,3,16,B,17.6,6,5,1,3,.8559,.5308,.9342,.8084,.8383,1.0522,1.1129,.8917,.9642,.8592,.7393,.7325,.9321,.4094,.6574,.9456,.7383,.6047,.7369,.6662,1.2081,.7609,.6197,.7101,.8263,.8061,.9667,.5578,.3904,.9017,1.2535,.8173,1.0473,1.0977,.7011,.6882,.7195,.5539,.7477,.7709,.867,.5922,.8723,.7814,.5494,1.2568,.9156,.8695,1.1518,1.0636,.9412,.5727,.4895,.7247,.4008,1.0221,.7993,.6307,.8922,.7159,.5738,1.0814,.7931,.9436,.8229,.7836,1.0515,.6127,.5144,.9919,.8947,.6901,.6542,.7904,.9577,1.5499,.6181,1.0207,1.0513,1.1804,.5955,1.0904,.8283,.7416,.7374,1.0246,1.0303,.7769,.8381,103653,100563
29,0,0,4,1,1,1,1,1,2,2,1,2,2,1,4,4,3,3,3,3,4,5,5,5,5,2,5,5,5,5,2,3,5,5,5,1,2,5,5,3,1,5,5,1,1,5,5,5,1,5,5,3,2,1,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,2,1,1,1,1,1,95,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,6,2,4,-8,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,2,2,3,1,29,4,4,3,15,1,19,B,8.64,6,4,1,1,18.0172,27.0806,74.5004,0,0,0,0,0,0,42.2232,21.0328,79.0556,0,0,71.9689,0,0,78.2463,0,41.7579,0,39.5956,60.8994,0,47.8134,0,48.1591,0,34.0603,57.913,0,49.4062,82.3204,81.1995,0,0,0,89.3895,80.5478,67.1998,73.4234,70.8658,20.5279,0,41.9,0,66.687,43.6222,36.4279,0,61.9919,0,66.9686,46.8928,67.712,66.5626,0,42.5078,0,23.3857,27.3584,42.0586,64.2312,0,0,0,22.5692,0,0,92.0461,31.355,64.4751,0,0,25.6663,36.5503,0,0,43.724,30.7867,28.6554,0,52.3811,0,35.6509,60.5081,0,0,36.2875,110118,109631
0,1,12,1,2,1,1,2,2,2,1,1,2,9,1,2,2,2,4,4,4,3,3,5,5,5,3,4,5,5,5,1,2,5,4,3,1,1,3,5,1,3,5,1,1,1,5,4,2,3,5,5,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,3,4,2,2,4,4,3,4,3,1,1,2,1,1,1,2,2,90,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,3,4,4,4,4,2,3,1,4,-8,2,1,1,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,7,0,0,0,0,7,0,7,7,0,0,0,7,0,0,0,0,0,0,0,7,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,1,1,2,2,1,1,4,4,2,14,1,20,B,22.56,6,13,2,2,3.7808,2.4396,5.086,7.6575,7.8703,5.7018,6.0117,5.4615,2.5557,2.6365,5.2612,0,2.7158,5.4254,2.9395,3.0255,5.3266,2.888,5.5202,6.7996,4.286,5.3007,4.539,2.8105,2.5756,4.9015,5.541,5.3054,5.3698,2.7502,5.3202,7.7184,2.7768,4.7583,5.1479,5.5387,2.6559,2.5963,2.7088,2.9635,2.6544,2.7043,2.9476,2.8801,3.0232,2.5002,0,2.6956,2.5634,2.682,2.4432,4.69,7.9168,7.144,2.538,4.9,5.1228,4.8528,5.0045,2.5815,2.5617,2.5541,0,7.0112,5.6359,0,5.4805,5.0303,2.5998,5.6994,2.6806,0,2.8084,9.4248,2.6921,2.3671,5.3272,5.3552,2.4463,5.0821,0,2.9725,0,2.4422,3.1151,0,2.7447,5.1757,5.4874,103142,101613
4,25,5,0,-8,1,2,2,2,2,1,1,2,1,9,5,3,3,3,2,4,5,4,5,1,4,2,2,4,2,4,4,1,5,1,4,1,1,1,5,1,1,2,5,1,1,5,5,2,1,4,5,1,1,1,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,75,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,3,3,3,2,2,2,3,2,3,3,4,1,4,-8,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2,2,2,3,1,29,4,4,2,16,1,19,B,15.08,6,5,3,2,1.2138,1.196,2.2465,1.7483,.2573,1.7609,2.3215,.9928,1.634,.9362,1.3261,.4973,.956,.9152,.7737,2.7411,3.3433,1.1307,1.7538,.7529,1.1521,2.0445,.6431,1.0045,1.423,1.7123,.9568,1.2755,.4856,.5047,1.0287,2.5443,.9621,1.5227,1.5131,1.4082,1.4332,1.441,1.4216,1.4841,1.4321,1.757,.4917,1.1467,2.0106,.5187,1.2842,.9532,.9246,.2566,2.2633,.9212,1.3161,1.5138,.7759,1.9842,0,.9715,1.4119,1.7286,1.5285,1.157,1.4782,2.0672,.9751,.248,1.5744,.4989,1.2584,1.3715,1.0683,.2549,1.2199,1.2809,2.2096,.5031,1.8227,1.3652,.6921,2.6567,.8186,.509,.9694,.515,1.3746,.9758,1.2071,1.2457,1.4636,110568,109457
14,0,9,1,2,1,1,1,1,2,2,1,1,2,7,5,3,3,3,4,4,4,4,5,5,5,4,1,5,5,5,3,3,5,5,5,1,1,1,5,2,1,1,5,4,1,1,5,5,1,2,5,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,5,4,1,1,1,1,1,1,1,1,100,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,4,4,2,4,4,4,2,5,5,2,4,-8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,2,4,1,3,1,14,4,4,3,16,3,20,B,6.65,6,10,5,1,4.3139,3.8105,0,5.2187,6.8684,4.8738,3.5733,11.2418,0,5.673,3.6657,0,4.0186,4.8901,0,4.2944,4.3286,4.5126,3.7065,4.4913,5.0916,3.7909,4.5982,4.3778,4.5223,4.913,5.1173,4.5534,4.2991,3.5596,6.8922,4.4207,4.6707,7.3073,4.2352,4.0987,8.4369,7.0866,8.0771,4.5882,10.1611,3.3477,0,0,8.0005,7.3722,0,3.322,0,4.3328,4.6048,7.5911,4.6571,0,4.1911,3.7336,5.0604,3.9821,0,5.0625,4.6774,4.6235,7.9343,4.4709,0,3.9107,4.739,4.0015,4.2676,6.8334,0,0,4.1237,4.1858,4.2793,4.7804,4.3998,7.0766,4.2684,4.4911,4.9559,0,0,0,0,4.5137,4.2377,10.4256,9.861,105883,101367
10,0,10,2,2,1,2,1,2,2,2,2,2,1,3,5,3,3,4,4,3,2,1,5,3,5,1,1,5,3,5,1,1,5,4,4,1,1,1,5,3,1,1,5,1,1,1,5,3,1,3,4,3,2,1,3,4,2,4,4,3,3,4,4,4,4,4,4,4,2,2,4,3,3,5,5,3,5,4,4,3,5,3,3,5,4,1,2,2,1,1,2,1,2,90,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,4,4,4,4,4,4,4,4,4,2,5,2,4,-8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2,2,3,2,3,6,10,4,4,3,11,3,18,B,6.77,6,12,5,1,3.4308,6.8038,3.0982,0,3.5948,4.7642,7.9114,0,4.6688,0,0,9.0369,4.3003,0,5.1195,4.4891,2.7995,6.8544,3.3922,0,3.31,2.4141,6.4052,4.2841,0,3.8493,5.6345,0,0,3.5758,3.6002,8.9994,4.5276,0,4.6099,4.3093,4.9991,3.0979,3.3431,3.2853,4.9256,4.1419,6.1804,0,6.3578,0,3.316,9.5649,4.1379,3.2716,4.2903,3.5105,8.009,7.3525,0,0,3.5488,2.857,3.2892,3.2236,9.8948,7.3226,0,5.5236,4.0246,3.9805,4.5514,3.4,0,5.6477,0,5.6772,9.3744,0,8.0966,6.0752,3.3684,9.4778,3.932,0,2.6802,4.5438,0,6.4577,4.584,3.968,0,3.8534,7.7568,103898,103786
6,0,8,6,1,2,2,2,2,1,2,2,1,1,9,5,2,2,2,3,2,1,3,5,1,5,2,3,5,1,5,2,3,5,1,4,2,2,3,5,3,2,3,5,3,1,2,5,5,2,4,5,1,4,1,4,3,3,4,3,3,3,4,3,3,4,2,4,1,1,1,1,2,5,5,5,4,5,4,5,4,5,3,3,4,4,1,1,1,1,1,2,1,2,90,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,4,3,4,4,3,4,4,4,4,2,1,2,4,-8,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,2,5,2,2,1,6,4,4,2,5,1,15,B,9.63,6,14,1,3,1.9421,1.5082,1.7996,1.5223,2.8614,1.7391,1.6473,1.5184,3.1671,1.5858,1.5492,1.7189,1.7524,1.8026,3.1618,1.7285,1.7777,1.7374,1.6614,1.6642,1.6129,1.8422,1.8463,0,1.7005,1.7807,1.6783,1.5831,3.6293,1.6716,1.5455,1.7922,3.2478,1.6577,1.6671,1.6508,1.6375,1.5341,1.6677,3.0961,1.6407,3.4446,1.6292,1.6233,3.189,3.3137,1.4671,1.5439,1.6832,1.6588,1.8451,1.6367,3.2045,3.2847,1.6397,1.6574,1.7011,3.6191,1.6922,1.5957,1.5708,1.6154,3.2542,1.5087,1.5242,1.6477,1.6496,3.3317,1.6835,1.686,3.2449,3.4611,3.2963,1.5594,1.6449,1.7413,1.5494,1.7955,3.7085,1.819,1.7444,1.5188,1.4737,3.6968,1.8987,1.6975,1.5295,1.6844,1.6715,111169,100257
2,6,14,0,-8,1,1,1,2,2,2,1,1,5,1,4,3,4,5,3,4,5,1,4,1,4,1,1,5,1,5,1,1,5,1,5,1,1,1,5,4,1,1,5,4,1,1,5,5,1,1,1,1,1,1,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,5,5,5,4,4,3,3,3,4,4,4,3,1,1,2,2,2,2,1,2,90,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,3,3,2,4,2,2,1,2,3,3,5,2,4,-8,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,1,1,1,2,3,6,8,4,4,3,15,3,18,B,5.58,6,14,5,3,1.6935,1.7221,1.9956,.9132,.8378,2.0241,2.4522,3.6493,.5421,.5022,2.7924,4.2615,1.9139,2.6644,1.0305,.4175,1.1048,2.7056,1.7177,2.2588,1.248,.5269,1.8181,2.6287,2.8598,1.114,2.4205,2.3509,1.0401,2.5922,1.1808,2.2017,.9632,1.2618,2.3221,2.3575,3.1904,1.1582,.7789,1.0683,.4505,1.5982,2.0598,.6021,2.5761,.999,2.0687,1.7222,1.181,1.1109,0,2.3487,4.4663,.398,2.328,1.7653,1.975,1.2911,2.068,1.7091,.9335,1.9636,2.2706,1.899,0,2.2331,.4766,1.7066,2.1825,.9429,.5063,1.3798,2.6138,3.7459,4.5446,5.514,3.3807,1.7993,.8091,1.3266,1.6927,1.1644,.8956,2.7471,.866,1.0324,1.0814,1.4467,1.2889,106874,101637
2,6,13,0,-8,1,1,1,2,2,2,1,1,1,2,9,2,3,3,3,2,3,3,5,1,5,3,4,5,1,5,3,3,5,1,5,3,3,3,5,5,1,4,5,4,1,3,5,5,2,5,5,1,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,3,5,5,4,5,5,4,4,5,3,3,5,3,1,1,1,1,1,1,1,1,95,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,4,4,3,3,2,3,2,4,4,3,5,2,4,-8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,1,1,2,3,1,8,4,4,2,15,1,19,B,14.13,6,13,3,1,13.3688,0,0,21.6565,22.0236,0,34.8439,24.6085,0,0,22.8571,0,0,0,0,0,0,0,0,22.2833,0,0,25.0112,30.6329,0,0,37.9874,26.5141,19.1156,26.2762,0,0,26.1019,30.7109,32.6126,22.73,28.4116,47.6056,36.3954,18.6311,20.7594,20.9399,0,26.1126,31.3233,0,35.4209,24.3198,23.9015,0,33.2989,21.136,0,0,0,0,0,30.1715,24.9106,19.6804,0,0,0,23.1621,0,0,23.0089,31.9974,0,31.7039,20.7395,30.1048,25.7141,29.0581,0,0,27.3835,0,31.0012,22.694,0,0,0,30.5874,31.2475,0,24.7982,0,36.1861,103783,109324
