AGE_T,AGE_TT,ASSIGN,ASSIGN_S,COLBARG,ENRK12UG,F_F0050,F_F0051,F_F0053,F_F0054,F_F0055,F_F0056,F_F0057,F_F0058,F_F0059,F_F0060,F_F0061,F_F0062,F_F0063,F_F0064,F_F0065,F_F0066,F_F0067,F_F0068,F_F0069,F_F0070,F_F0071,F_F0072,F_F0073,F_F0074,F_F0075,F_F0076,F_F0077,F_F0078,F_F0079,F_F0080,F_F0081,F_F0082,F_F0083,F_F0084,F_F0085,F_F0086,F_F0087,F_F0088,F_F0089,F_F0090,F_F0091,F_F0092,F_F0093,F_F0094,F_F0095,F_F0096,F_F0097,F_F0098,F_F0099,F_F0100,F_F0101,F_F0102,F_F0103,F_F0104,F_F0105,F_F0106,F_F0107,F_F0108,F_F0109,F_F0110,F_F0111,F_F0112,F_F0113,F_F0114,F_F0115,F_F0116,F_F0117,F_F0118,F_F0119,F_F0120,F_F0121,F_F0122,F_F0123,F_F0124,F_F0125,F_F0126,F_F0127,F_F0128,F_F0129,F_F0130,F_F0131,F_F0132,F_F0133,F_F0134,F_F0135,F_F0136,F_F0137,F_F0138,F_F0139,F_F0140,F_F0141,F_F0142,F_F0143,F_F0144,F_F0145,F_F0146,F_F0147,F_F0148,F_F0149,F_F0150,F_F0151,F_F0152,F_F0153,F_F0154,F_F0156,F_F0157,F_F0159,F_F0160,F_F0161,F_F0162,F_F0163,F_F0164,F_F0165,F_F0166,F_F0167,F_F0169,F_F0170,F_F0171,F_F0172,F_F0173,F_F0174,F_F0175,F_F0176,F_F0177,F_F0178,F_F0179,F_F0180,F_F0181,F_F0182,F_F0183,F_F0184,F_F0185,F_F0186,F_F0187,F_F0188,F_F0194,F_F0195,F_F0196,F_F0197,F0050,F0051,F0053,F0054,F0055,F0056,F0057,F0058,F0059,F0060,F0061,F0062,F0063,F0064,F0065,F0066,F0067,F0068,F0069,F0070,F0071,F0072,F0073,F0074,F0075,F0076,F0077,F0078,F0079,F0080,F0081,F0082,F0083,F0084,F0085,F0086,F0087,F0088,F0089,F0090,F0091,F0092,F0093,F0094,F0095,F0096,F0097,F0098,F0099,F0100,F0101,F0102,F0103,F0104,F0105,F0106,F0107,F0108,F0109,F0110,F0111,F0112,F0113,F0114,F0115,F0116,F0117,F0118,F0119,F0120,F0121,F0122,F0123,F0124,F0125,F0126,F0127,F0128,F0129,F0130,F0131,F0132,F0133,F0134,F0135,F0136,F0137,F0138,F0139,F0140,F0141,F0142,F0143,F0144,F0145,F0146,F0147,F0148,F0149,F0150,F0151,F0152,F0153,F0154,F0156,F0157,F0159,F0160,F0161,F0162,F0163,F0164,F0165,F0166,F0167,F0169,F0170,F0171,F0172,F0173,F0174,F0175,F0176,F0177,F0178,F0179,F0180,F0181,F0182,F0183,F0184,F0185,F0186,F0187,F0188,F0194,F0195,F0196,F0197,FTPT_S,GENDER,HIDEGREE,JOBDES_S,MINENR_S,MINTCH_S,NEWTCH,PD_CPTR,PD_DISC,PD_MTHD,PD_STAS,PD_STDS,PD_SUBJ,PGMTYPE,PLANS_S,RACE,RACETH_T,REGION,REGION_T,RELIG,SCHLEVEL,SECTOR,STATUS,SURVEY,TOTEXP_T,TOTEXPER,UNION,URBANIC,YRTCHSC,CNTLNUM,SCHCNTL,TFRPWT1,TFRPWT10,TFRPWT11,TFRPWT12,TFRPWT13,TFRPWT14,TFRPWT15,TFRPWT16,TFRPWT17,TFRPWT18,TFRPWT19,TFRPWT2,TFRPWT20,TFRPWT21,TFRPWT22,TFRPWT23,TFRPWT24,TFRPWT25,TFRPWT26,TFRPWT27,TFRPWT28,TFRPWT29,TFRPWT3,TFRPWT30,TFRPWT31,TFRPWT32,TFRPWT33,TFRPWT34,TFRPWT35,TFRPWT36,TFRPWT37,TFRPWT38,TFRPWT39,TFRPWT4,TFRPWT40,TFRPWT41,TFRPWT42,TFRPWT43,TFRPWT44,TFRPWT45,TFRPWT46,TFRPWT47,TFRPWT48,TFRPWT49,TFRPWT5,TFRPWT50,TFRPWT51,TFRPWT52,TFRPWT53,TFRPWT54,TFRPWT55,TFRPWT56,TFRPWT57,TFRPWT58,TFRPWT59,TFRPWT6,TFRPWT60,TFRPWT61,TFRPWT62,TFRPWT63,TFRPWT64,TFRPWT65,TFRPWT66,TFRPWT67,TFRPWT68,TFRPWT69,TFRPWT7,TFRPWT70,TFRPWT71,TFRPWT72,TFRPWT73,TFRPWT74,TFRPWT75,TFRPWT76,TFRPWT77,TFRPWT78,TFRPWT79,TFRPWT8,TFRPWT80,TFRPWT81,TFRPWT82,TFRPWT83,TFRPWT84,TFRPWT85,TFRPWT86,TFRPWT87,TFRPWT88,TFRPWT9,TFSFINWT
4,4,3,3,-8,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,6,-8,-8,-8,-8,-8,-8,9,3,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,1,4,3,2,2,2,5,2,-8,-8,5,3,5,4,5,5,4,1,5,5,3,3,5,5,4,5,5,4,3,5,4,3,4,5,4,3,3,3,5,5,5,5,1,2,2,3,5,4,5,5,5,5,5,5,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,2,2,1,1,0,1,2,3,-8,2,2,2,2,2,2,2,3,4,1,1,1,4,1,1,1,2,B,L,TFS2,16,16,-8,2,16,107940,101274,167.0071,0,72.0281,81.7334,186.4647,62.831,151.9526,91.4921,82.8386,89.6517,80.1051,0,78.102,65.2629,72.0867,163.4519,0,75.5449,120.435,74.0703,180.2951,0,0,157.6108,113.1027,127.9273,73.0677,93.7726,0,71.1699,0,0,91.2024,103.4818,60.6307,0,84.2176,160.1871,61.018,0,0,71.6967,192.1039,140.4494,141.2902,66.0671,0,0,0,0,69.5549,68.3995,65.3274,80.5791,0,85.5628,76.7718,72.1215,211.9807,75.0078,140.4756,69.3964,84.8232,161.0307,77.3542,89.6545,0,81.1708,0,67.0982,60.4395,150.5589,91.5233,161.4657,0,0,153.5237,84.1298,104.6638,0,0,64.5745,0,0,105.0281,68.2996,85.6551,159.4882,72.2072
2,2,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,2,4,1,2,1,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,4,4,4,5,5,1,4,5,4,2,4,5,4,5,4,4,4,5,5,4,4,5,4,4,2,4,4,4,5,5,5,2,2,1,3,2,3,3,1,3,2,3,1,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,5,5,5,3,2,1,3,2,1,2,1,2,4,1,2,0,1,2,3,-8,2,2,2,3,1,2,1,3,1,1,1,3,1,4,4,-8,1,A,L,TFS2,12,12,1,3,4,108574,101277,0,0,10.4427,0,0,9.7864,9.2145,0,0,0,0,0,8.1168,10.3194,0,0,14.6515,0,12.0473,12.2203,0,0,7.1656,7.8487,0,13.5949,11.0297,0,0,0,0,0,10.5549,0,8.4468,0,9.384,0,10.0108,0,0,8.837,0,0,0,9.691,0,0,11.06,0,7.1824,8.2973,9.4056,0,9.6649,0,8.1519,8.1333,9.5735,0,0,0,0,0,0,0,9.9604,11.7731,0,8.9535,8.184,7.8275,8.6729,14.1341,7.8288,9.532,9.1161,0,0,7.0478,7.6066,0,7.9544,0,9.0045,12.6359,8.2778,10.7341,4.591
4,4,4,11,-9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,2,14,2,5,4,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,5,4,5,4,5,2,2,4,2,2,3,2,4,1,5,4,4,5,2,5,1,1,5,3,1,4,4,3,2,1,2,2,3,2,2,3,2,1,1,1,2,1,1,1,2,1,3,2,3,2,2,3,3,3,1,3,2,2,2,1,3,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,4,4,4,1,3,1,2,4,1,2,1,2,4,2,0,0,1,2,2,-8,1,2,2,3,1,1,1,1,1,1,4,3,1,1,1,-8,2,A,L,TFS2,11,11,1,2,10,125272,101278,7.5624,7.1988,12.9558,8.1627,3.6511,4.7633,4.1965,7.7074,7.3019,7.9598,9.0008,9.395,4.4159,8.3755,8.1023,14.0461,8.485,8.7095,4.3625,7.528,8.6689,7.7833,10.0673,4.3792,8.2049,8.2666,7.4169,4.3602,9.8987,8.789,3.4228,6.883,3.6417,8.5024,7.8778,7.1739,9.0335,4.4026,7.729,4.2228,7.4608,3.2946,7.7052,7.7934,4.0512,9.529,8.2554,4.8125,0,6.9619,8.1035,6.5498,7.1315,7.2133,7.878,10.0175,8.7804,7.2282,7.044,6.9876,7.4326,7.367,9.4073,3.8263,9.0665,7.293,7.3627,3.8679,8.004,9.5351,7.3248,6.4902,3.7424,3.6478,8.5323,9.1163,8.8874,4.7548,7.1635,8.1015,3.8206,6.51,8.8073,8.4626,7.3292,3.4638,4.0556,6.8886,7.0749
4,4,6,4,-9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,0,0,0,0,0,0,0,0,0,0,2,-8,6,-8,-8,-8,-8,-8,-8,9,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,1,2,-8,-8,3,3,5,3,4,5,4,1,5,5,1,1,3,3,1,5,5,1,1,4,2,4,4,5,4,5,3,5,5,4,4,4,4,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,1,3,5,5,4,1,2,1,1,3,1,0,0,1,1,2,-8,1,2,2,2,3,3,2,3,2,1,2,4,5,2,2,-8,2,A,L,TFS2,30,30,1,1,10,145515,101282,60.0482,0,0,62.4608,85.4773,82.6228,69.1967,73.3964,0,0,0,52.9335,71.7158,63.8993,0,51.3863,0,64.9964,68.9919,67.3265,72.94,0,0,72.8164,0,0,61.57,72.3225,78.016,0,58.2907,77.578,73.735,63.6918,0,70.744,0,0,0,80.6377,0,0,66.5389,48.1869,152.5222,58.3189,60.7701,48.6675,64.0039,60.2929,98.5812,131.5364,0,63.3087,108.4419,63.4336,58.3739,69.4108,0,59.6245,66.0279,55.798,0,137.1197,0,75.214,65.372,119.5193,67.0671,67.7715,0,46.5636,0,71.1869,77.1786,109.0016,84.8571,101.4894,135.5063,0,62.3527,68.0453,0,0,0,0,0,133.3601,53.4961
3,4,9,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,7,-8,-8,-8,-8,-8,-8,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,2,-8,-8,2,4,4,1,3,2,3,4,5,4,2,2,5,3,2,5,5,4,3,5,5,4,4,3,2,1,1,5,5,3,5,4,4,2,2,1,4,3,2,3,4,4,4,2,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,5,3,5,1,3,1,2,3,1,1,-8,2,4,1,0,0,1,2,2,-8,1,1,2,1,3,3,3,4,5,1,2,1,4,2,2,-8,2,A,L,TFS2,27,27,1,3,28,138298,101285,6.0547,5.0958,0,13.6043,5.6919,8.1528,0,0,18.9669,13.6855,15.1714,18.0038,6.497,0,13.4401,6.5587,0,0,15.1868,5.9181,8.8096,12.6837,14.4979,12.8454,6.8222,7.6497,5.6113,6.5176,8.0128,13.9339,10.1307,16.6648,6.614,0,13.5157,0,13.9226,6.9645,6.7977,22.3397,11.6578,0,12.2695,5.9647,13.9117,8.5288,6.3221,15.3608,11.5666,5.6548,21.0054,0,12.607,6.4587,6.3376,0,7.6515,12.2903,5.3122,0,13.9996,0,6.9687,6.662,14.9493,5.3822,6.18,0,5.7778,15.3112,5.9668,5.7237,12.8697,6.5187,13.4953,14.5303,12.5225,7.9236,12.1918,6.7011,11.9572,5.2276,14.0534,7.0112,6.3303,0,7.277,5.571,7.8381
2,2,9,1,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,3,14,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,5,5,1,2,4,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,3,3,4,4,4,5,1,4,5,5,4,1,4,2,4,4,2,2,1,1,4,2,3,4,1,3,3,3,4,2,2,2,2,3,1,2,2,2,3,1,2,2,3,2,2,2,1,2,3,2,2,2,2,3,2,2,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,2,2,2,1,1,3,0,2,2,2,-8,2,1,1,1,2,1,1,1,1,1,5,1,4,1,1,1,1,B,L,TFS2,1,1,-8,1,1,117894,101299,339.635,418.2472,281.2709,329.2253,204.1405,401.7971,0,207.1303,435.7504,284.1814,248.437,383.7948,131.8797,204.5345,138.1269,404.3759,189.6886,0,447.1499,211.8433,250.091,288.2804,191.8539,238.4985,649.6356,243.838,506.2269,374.3899,183.4647,192.7805,174.3241,412.8632,414.6726,279.6515,285.785,150.5565,225.0962,247.9239,453.9129,0,344.2356,226.2211,437.8087,509.3282,208.5067,437.6896,0,267.9505,0,0,242.3745,171.7801,332.5388,277.3214,0,209.2574,615.4174,190.0982,243.1447,189.4464,273.888,488.9406,0,0,0,211.7039,212.7931,0,168.046,0,204.9631,413.3339,236.3421,0,179.4264,175.9787,349.8218,505.5389,474.1073,0,439.3682,197.4967,387.3835,442.9075,174.0758,431.5338,0,439.6369,232.0772
3,4,1,5,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,3,9,3,1,1,1,5,1,1,1,3,1,1,1,4,4,1,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,1,3,3,5,5,5,1,1,1,2,2,3,3,3,4,2,4,4,5,5,1,2,4,2,3,3,2,2,2,1,2,2,2,2,1,2,2,2,2,1,3,2,1,3,3,1,1,1,2,2,3,2,1,2,2,2,2,2,3,3,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,5,2,1,1,2,5,2,3,5,2,1,2,4,1,2,0,1,2,2,-8,1,2,1,2,2,2,1,2,2,1,1,1,4,2,2,1,1,B,L,TFS2,3,3,-8,2,3,119624,101300,0,64.8386,71.8711,0,130.3295,73.0836,0,129.0663,61.9346,0,0,60.5151,83.3774,0,135.5228,0,119.5533,68.4027,0,61.8407,83.7225,0,62.0664,69.4805,0,72.3124,77.5623,67.5613,63.8706,83.5853,0,150.4324,74.1578,88.8734,70.0735,62.2691,67.2626,164.1207,70.1825,122.8177,128.5741,0,66.7282,143.4762,71.3498,70.1184,0,76.878,0,0,74.0812,0,164.3366,0,66.6796,0,66.2592,145.8041,68.749,77.8453,153.6379,65.266,0,60.1248,76.9727,131.3141,70.2692,60.0275,78.5442,0,0,0,67.6859,0,0,68.2514,0,78.5083,68.9115,75.555,147.025,0,79.382,70.9685,0,64.056,0,0,52.1936
1,1,1,5,-8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,5,-8,-8,-8,-8,-8,-8,6,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,4,2,2,1,1,2,4,5,2,2,5,5,2,5,5,4,4,4,1,2,4,4,4,2,4,1,2,2,5,4,4,2,2,1,5,3,2,3,4,1,2,3,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,1,5,3,3,3,4,1,3,2,1,2,1,2,6,1,1,1,1,2,2,-8,1,2,1,1,1,1,1,2,1,1,1,1,4,2,2,1,1,B,L,TFS2,2,2,-8,2,2,149088,101300,0,73.8255,77.5865,0,169.2305,83.2836,0,145.2705,86.7115,0,0,79.6969,105.5855,0,140.9852,0,183.7297,96.9385,0,70.7291,93.6304,0,71.8214,98.8325,0,74.5515,102.0764,92.5319,77.5527,92.1108,0,142.4505,99.5534,94.3354,80.4589,87.7573,83.8646,182.7181,82.823,129.7657,170.1413,0,59.6858,146.7105,72.3622,76.4245,0,98.0237,0,0,67.055,0,188.1428,0,82.3293,0,70.0045,209.9246,82.6354,74.7136,194.6484,87.2653,0,69.4678,100.929,140.0698,86.0928,79.6275,87.0133,0,0,0,86.1633,0,0,100.293,0,96.0523,93.4017,96.4995,176.0806,0,86.9333,102.405,0,84.1581,0,0,69.3797
3,3,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,1,4,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,4,5,2,5,5,5,1,4,5,2,1,3,4,4,5,5,4,4,5,4,2,5,4,2,4,2,4,2,4,2,4,4,2,2,2,4,4,3,4,4,3,4,3,1,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,2,1,2,3,3,0,0,1,1,3,-8,1,1,2,3,1,1,1,1,1,1,2,1,4,2,2,-8,1,A,L,TFS2,20,20,1,2,19,115909,101307,35.7794,20.1861,42.3786,0,36.6672,18.7678,16.6065,20.3579,19.4931,46.6332,22.3717,37.7094,39.3218,18.0445,18.6397,0,0,20.3033,0,36.4857,19.1391,22.0075,16.2732,19.9369,18.7208,36.5896,33.0258,19.2408,16.8244,19.0667,34.9647,0,20.4257,42.1019,18.8416,18.6904,34.2803,18.6875,22.0194,58.0783,0,19.3773,17.5416,17.5827,20.1391,20.072,16.5265,42.4425,20.6602,18.4382,18.3112,0,18.1322,19.0104,17.2769,20.0014,18.305,48.362,16.638,0,16.7121,37.964,39.3895,32.6285,38.2443,38.2325,20.5028,17.8021,19.3495,19.6206,40.8167,19.6519,33.5322,35.5535,18.4365,38.2857,20.2035,18.6043,19.4428,33.3213,18.9193,17.7662,19.6526,35.3689,18.8542,20.4457,23.1626,35.4661,23.4809
4,4,2,6,-9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-8,6,-8,-8,-8,-8,-8,-8,9,1,1,1,3,1,1,1,1,4,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,-8,-8,4,3,4,2,2,1,2,2,2,4,1,1,3,2,1,1,1,2,2,4,4,4,2,4,4,4,4,4,4,1,1,5,5,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,2,4,2,0,0,1,1,3,1,1,1,2,2,1,3,2,2,1,1,2,1,4,3,3,-8,2,A,L,TFS2,33,33,2,3,32,115800,101309,0,25.2824,0,21.6917,26.6083,33.2312,29.0405,19.7101,21.412,31.5269,0,73.9995,23.5213,25.3159,0,23.9201,0,30.0571,25.9195,0,0,0,24.5239,24.1944,24.2043,38.7847,32.2268,40.3034,33.7949,0,18.436,49.9092,21.9857,26.7285,0,0,0,28.7039,0,35.8505,19.3865,0,24.9967,21.1271,31.9939,0,22.5495,31.6624,0,36.3319,41.541,20.1803,25.7367,27.8071,0,45.0346,0,0,25.5571,23.8572,0,25.9339,0,27.8349,36.4231,29.433,59.8943,0,24.8204,29.0925,58.3956,37.725,0,25.2403,0,0,23.4831,52.925,0,24.235,31.0555,36.6356,30.2537,0,41.5193,0,23.6208,0,19.6681
2,2,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-8,1,14,1,4,1,3,3,4,1,1,1,1,1,1,1,4,4,3,1,3,2,1,1,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,3,5,2,4,2,3,3,4,2,5,3,3,3,5,4,3,4,4,3,2,2,4,4,2,2,3,2,3,5,2,3,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,2,2,1,3,1,2,1,2,2,3,1,2,1,2,1,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,4,1,1,1,1,-8,-8,1,1,3,1,1,3,3,1,4,1,1,2,1,2,4,1,3,0,1,1,3,-8,1,1,2,4,2,4,2,5,4,1,3,1,4,2,2,-8,2,A,L,TFS2,12,12,1,3,11,127623,101310,0,0,0,0,65.4965,72.7745,70.2487,0,63.7523,73.7506,128.1472,139.8686,0,58.483,0,62.6641,0,67.2726,138.7118,72.8563,0,74.4708,147.7918,128.7651,63.5425,0,64.2777,118.3988,68.5834,64.9651,80.1283,82.0481,67.3063,133.1911,0,0,0,57.3601,0,68.7502,116.381,70.2691,75.874,0,0,122.9685,0,64.707,0,127.8307,0,74.5066,121.5464,68.7301,73.992,71.914,153.4534,52.4113,73.908,48.1701,0,72.3436,0,135.9167,61.5037,66.3723,0,0,75.9631,51.7041,51.7776,57.6186,60.8102,53.8032,59.9371,58.8207,125.5205,0,66.2529,73.1883,0,72.153,0,85.5669,126.8622,63.8676,70.4605,0,65.6245
