F0195,F0196,F0197,FTPT_S,GENDER,CNTLNUM_T,SCHCNTL,label,AGE_T,EARNALL,EARNSCH,MINTCH,NEWTCH,RACETH_T,STU_TCH,T0065,T0066,T0067,T0068,T0069,T0070,T0072,T0080,T0081,T0082,T0084,T0087,T0090,T0093,T0096,T0099,T0102,T0103,T0104,T0120,T0179,T0180,T0181,T0182,T0183,T0184,T0191,T0192,T0193,T0194,T0195,T0196,T0197,T0198,T0199,T0200,T0201,T0202,T0203,T0204,T0205,T0206,T0209,T0210,T0211,T0212,T0273,T0339,T0340,T0341,T0343,T0345,T0347,T0348,T0350,T0352,T0355,TOTEXPER,MINENR,PGMTYPE,REGION,S0265,S0266,S0267,S0268,S0269,S0270,S0271,S0272,S0273,S0274,S0275,S0276,S0282,S0283,S0284,S0285,S0286,S0287,S0288,S0290,S0306,S0307,S0308,S1611,S1612,S1613,S1614,S1615,S1616,S1617,S1618,S1619,S1620,S1621,S1622,S1623,S1624,S1625,S1626,S1627,SCHLEVEL,URBANIC,A0053,A0054,A0055,A0056,A0225,A0226,A0227,AGE_P,RACETH_P,CNTLNUM_P
2,0,0,1,2,128732,107819,0,2,2,2,1,2,4,8.67,7,0,2,-8,-8,1,4,1,4,3,-8,-8,-8,1,-8,-8,49,1,1,1,2,2,1,2,1,1,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,10,0,0,35,4,4,2,2,1,3,2,1,1,1,7,1,1,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,3,23,0,12,23,4,1,1,5,4,106247
1,0,0,1,2,115690,107823,0,1,1,1,3,1,4,21.36,2,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,3,7,5,2,4,38,2,4,2,2,1,1,2,2,1,2,2,1,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-8,-8,-8,-8,2,1,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,4,19,7,0,4,4,1,4,4,110815
1,3,0,1,1,145928,107824,0,4,1,1,3,2,4,12.91,27,0,2,-8,-8,1,31,2,-8,-8,1,-8,-8,-8,-8,-8,55,1,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,1,-8,-8,-8,-8,40,5,4,2,2,2,1,2,2,2,1,27,4,1,3,1,2,2,4,2,5,2,2,1,2,2,2,1,1,4,1,1,1,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,7,0,16,0,3,3,1,3,4,105822
1,2,0,1,2,127692,107828,0,4,4,4,2,2,4,10.44,15,2,2,-8,-8,1,4,1,39,2,-8,-8,-8,-8,-8,-8,14,1,1,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,1,1,1,-8,-8,-8,-8,-8,-8,-8,5,0,0,0,0,36,1,2,2,2,2,5,1,2,2,1,17,2,1,1,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,14,5,9,0,4,6,2,4,3,109589
2,2,0,2,2,133287,107838,0,3,2,2,1,2,4,11.42,20,7,2,-8,-8,1,12,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,1,1,1,1,1,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,15,1,4,2,2,2,3,1,2,2,1,27,1,1,4,4,2,2,4,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,3,10,0,7,0,3,2,1,3,4,101361
1,3,0,1,1,122967,107849,0,2,2,2,3,2,4,7.89,14,0,2,-8,-8,1,47,1,47,2,-8,-8,-8,-8,-8,-8,18,1,1,1,1,2,2,2,1,1,-8,-8,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,-8,-8,-8,-8,45,2,4,2,2,2,3,1,2,2,1,14,3,1,3,1,2,5,2,3,2,2,5,3,2,5,2,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,5,3,12,0,4,2,1,3,4,101432
2,0,0,1,2,103788,107850,0,4,4,3,5,2,4,16.86,21,12,1,2,0,1,1,2,-8,-8,-8,-8,-8,1,-8,-8,3,1,1,1,1,1,1,2,1,1,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,3,8,7,5,5,35,3,2,2,2,1,4,2,2,1,1,35,4,1,4,4,6,1,1,1,1,1,1,3,1,1,1,1,2,4,1,2,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,3,0,0,16,0,3,2,1,5,4,111070
2,0,0,1,1,142883,107855,0,4,1,1,1,2,4,11.5,4,0,2,-8,-8,1,21,2,-8,-8,-8,-8,-8,-8,-8,-8,64,2,-8,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,1,1,1,3,10,10,8,8,40,1,1,1,2,2,2,2,2,2,2,4,2,1,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,3,1,1,3,1,-8,-8,-8,-8,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,3,1,1,12,0,3,2,1,1,5,102387
2,4,2,2,2,119234,107858,0,2,1,1,3,1,4,15.1,1,0,1,0,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,20,2,-8,3,1,1,2,2,1,1,-8,-8,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,35,1,1,2,2,1,1,2,2,2,2,2,3,1,4,4,5,1,1,1,1,1,1,1,1,5,1,1,2,4,1,2,4,1,3,1,1,1,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,3,0,15,1,3,1,2,2,4,101728
2,0,0,1,2,121598,107862,0,4,3,3,1,2,4,11.29,34,0,2,-8,-8,1,13,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,1,1,2,2,1,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,38,2,5,1,2,2,4,1,2,2,2,34,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4,1,1,4,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,1,0,3,0,3,1,1,1,4,110469
1,0,0,1,2,135492,107864,0,4,2,2,2,2,4,17.63,23,0,2,-8,-8,1,49,1,42,2,-8,-8,-8,-8,-8,-8,23,1,1,1,2,1,1,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,-8,-8,-8,38,2,2,2,2,2,2,2,2,2,1,23,2,1,3,1,5,2,2,2,2,2,2,1,2,2,3,1,1,3,1,1,3,2,-8,-8,-8,-8,2,1,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,6,5,15,0,3,2,2,4,4,102336
1,3,0,1,1,139274,107879,0,3,1,1,1,1,4,12.51,1,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,32,1,1,3,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,1,-8,-8,-8,-8,40,3,1,2,2,1,1,2,2,2,1,1,1,1,1,1,5,1,3,1,5,5,5,5,5,1,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,23,0,3,2,1,4,5,104920
1,0,0,1,2,107494,107885,0,1,4,4,3,2,4,18.82,7,0,2,-8,-8,1,4,1,40,3,-8,-8,-8,-8,-8,-8,3,1,1,1,1,1,1,2,1,2,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,10,5,2,2,36,1,3,1,1,2,5,1,2,2,1,7,2,1,2,3,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,1,6,13,0,3,5,2,2,3,108873
1,1,0,1,2,102804,107889,0,4,4,4,4,2,4,20.42,31,5,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,2,1,1,1,1,1,1,2,1,2,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,8,5,3,2,35,3,2,2,2,2,5,2,2,2,2,36,3,1,4,3,2,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,2,1,4,24,0,3,3,2,4,4,104529
1,2,0,1,2,137867,107890,0,3,2,1,5,1,4,11.68,3,0,2,-8,-8,1,4,2,-8,-8,1,-8,-8,-8,-8,-8,41,1,1,2,1,1,2,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,-8,-8,-8,-8,40,5,2,2,2,1,2,2,2,1,1,3,4,1,4,2,2,4,2,2,2,4,2,2,4,2,2,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,3,20,5,0,3,3,1,3,4,107437
2,0,0,1,2,113437,107894,0,2,2,2,3,1,4,22.53,2,0,2,-8,-8,1,49,1,49,4,-8,-8,-8,-8,-8,-8,23,1,3,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,1,-8,-8,-8,-8,35,2,1,1,2,2,2,2,2,1,1,2,3,1,3,1,2,3,3,2,5,5,5,2,2,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,4,4,9,23,3,2,1,5,3,104640
2,1,0,1,2,138320,107897,0,4,4,4,2,2,4,13.79,31,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,2,2,2,2,2,-8,-8,-8,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,10,3,2,2,32,4,2,2,2,2,5,1,1,2,1,31,3,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,3,4,1,3,4,1,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,0,0,33,0,4,6,2,5,4,103003
1,0,0,1,2,116859,107913,0,4,4,4,3,2,3,15.51,31,0,2,-8,-8,1,86,1,20,2,-8,1,-8,-8,-8,-8,55,1,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,-8,-8,-8,-8,3,10,5,0,0,38,3,2,2,2,2,5,2,2,2,1,31,2,1,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,3,1,1,3,1,3,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,7,0,20,4,3,4,1,3,4,103284
1,0,0,1,2,132039,107914,0,4,3,3,3,2,4,20.0,31,0,2,-8,-8,1,87,2,-8,-8,-8,-8,-8,-8,-8,-8,2,1,1,1,2,1,2,1,1,1,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,10,6,3,3,38,3,5,2,2,2,4,2,2,2,1,31,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,3,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,3,8,4,5,0,3,2,1,4,4,103855
2,2,0,1,2,102585,107915,0,3,2,2,1,2,4,13.06,15,0,2,-8,-8,1,57,2,-8,-8,1,-8,-8,-8,-8,-8,45,1,1,1,1,2,1,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,2,3,2,2,2,3,1,2,2,1,15,2,1,3,1,2,2,3,4,4,2,2,2,2,2,2,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,2,5,5,20,0,4,2,2,4,4,101331
1,1,0,1,1,136866,107918,0,4,3,3,1,2,4,11.09,43,0,2,-8,-8,1,19,2,-8,-8,-8,-8,-8,-8,-8,-8,20,1,1,1,1,1,1,1,1,1,-8,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-8,-8,-8,-8,37,1,4,2,2,2,4,1,2,2,1,43,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,0,0,26,0,3,3,1,3,4,109989
1,0,0,1,2,117266,107935,0,1,2,2,3,2,4,15.33,7,0,2,-8,-8,1,19,2,-8,-8,-8,-8,-8,-8,-8,-8,32,1,1,1,1,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,1,-8,-8,-8,-8,35,2,4,2,1,2,3,1,2,2,1,7,3,1,3,1,5,3,3,2,5,2,5,5,2,5,4,1,1,2,1,1,2,2,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,1,7,12,5,0,4,6,2,5,4,106930
2,0,0,1,2,113591,107955,0,4,2,2,3,2,4,17.51,30,0,2,-8,-8,1,49,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,1,1,1,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,1,-8,-8,-8,-8,40,3,2,1,2,2,3,2,2,2,2,30,3,1,3,1,3,3,3,3,3,3,3,4,3,3,3,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,5,0,17,0,3,2,1,3,4,102466
1,2,1,1,2,119592,107959,0,2,2,2,3,2,4,16.97,13,0,2,-8,-8,1,17,1,5,3,-8,-8,-8,-8,-8,-8,16,1,1,1,2,2,2,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,1,-8,-8,-8,-8,40,2,1,2,2,2,3,1,1,2,1,13,3,1,4,1,3,4,3,2,5,3,3,1,3,5,1,1,1,3,1,1,3,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,1,0,16,0,4,3,2,5,4,109907
1,2,0,1,1,140945,107978,0,3,4,1,3,1,4,20.9,1,0,2,-8,-8,1,84,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,3,1,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,3,10,5,2,2,38,4,5,2,2,1,1,1,2,1,1,1,4,1,4,3,5,1,1,1,1,1,1,5,1,2,1,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,8,2,13,10,4,4,2,3,3,102318
3,0,0,2,2,127100,107980,0,4,1,1,3,2,4,18.68,30,1,2,-8,-8,1,5,1,42,1,-8,-8,-8,-8,-8,-8,23,1,1,3,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,1,-8,-8,-8,-8,20,2,5,2,2,2,1,2,2,2,2,31,3,1,3,1,6,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,1,0,16,0,4,4,2,4,4,101495
1,2,1,1,1,141142,107980,0,2,2,1,3,2,4,18.68,6,0,1,1,0,1,57,1,41,3,-8,-8,-8,-8,-8,-8,16,1,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,38,3,3,2,2,1,2,2,2,1,2,7,3,1,3,1,6,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,1,0,16,0,4,4,2,4,4,101495
1,3,0,2,1,106925,107987,0,4,1,1,1,2,4,7.36,0,32,2,-8,-8,1,19,1,42,1,-8,-8,1,-8,-8,-8,64,1,1,1,2,2,1,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,1,-8,-8,-8,-8,40,2,5,1,2,2,1,1,2,2,2,32,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,28,0,3,28,3,1,1,5,4,100168
1,1,1,2,1,119586,108002,0,2,1,1,5,1,3,16.95,0,2,2,-8,-8,1,18,2,-8,-8,-8,-8,-8,-8,-8,-8,18,1,1,1,2,1,2,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,-8,-8,-8,1,-8,-8,-8,-8,10,1,1,2,2,2,1,2,2,1,2,2,4,1,4,4,5,2,1,1,5,5,5,1,1,1,1,1,1,4,1,1,4,2,-8,-8,-8,-8,1,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,0,0,19,0,3,2,2,3,4,110048
1,0,0,1,2,145440,108025,0,4,2,2,5,2,1,16.8,40,0,2,-8,-8,1,47,1,44,1,-8,-8,-8,1,-8,-8,22,1,1,1,2,2,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,35,4,5,2,2,2,3,1,2,2,1,40,4,1,3,1,5,5,3,2,5,3,2,2,2,4,3,1,1,4,1,1,4,1,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,1,9,8,0,3,1,1,3,4,109641
1,0,0,1,2,106692,108026,0,1,2,1,4,1,4,15.24,1,0,2,-8,-8,1,48,2,-8,-8,-8,-8,-8,-8,-8,-8,10,1,3,3,1,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,-8,-8,-8,-8,42,2,3,2,2,1,2,2,2,1,1,1,4,1,3,1,3,1,3,1,1,1,1,1,1,3,5,1,1,3,1,1,3,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,4,11,5,0,4,4,1,3,4,103775
1,0,0,1,2,103490,108043,0,4,2,2,3,2,4,18.75,20,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,1,2,2,2,2,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,16,5,2,2,40,3,4,2,2,2,4,2,2,2,1,20,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4,8,3,0,4,3,2,2,4,102567
1,6,3,1,2,100118,108046,0,1,1,1,1,2,4,14.38,5,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,1,2,2,1,2,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,9,7,3,3,40,1,1,2,2,2,2,2,2,2,1,5,1,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,2,1,1,2,1,3,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,9,0,13,0,3,2,1,4,4,102210
1,1,0,2,1,149052,108053,0,4,3,3,1,2,4,10.33,34,0,2,-8,-8,1,51,2,-8,-8,-8,-8,-8,-8,-8,-8,28,1,1,1,2,2,1,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,40,5,4,2,2,2,4,2,1,2,1,34,1,1,1,5,1,2,5,2,5,1,1,1,1,1,1,1,1,2,1,1,2,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,4,13,11,0,4,3,1,5,4,103737
3,0,0,1,2,126643,108056,0,2,2,2,4,2,4,16.83,5,0,1,0,1,1,85,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,2,1,1,2,2,2,-8,-8,-8,-8,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,15,6,1,1,35,3,5,2,2,2,3,1,2,2,2,6,4,1,3,6,4,1,1,1,1,1,1,4,3,3,1,1,3,4,1,3,4,1,-8,-8,-8,-8,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,3,0,10,0,4,4,2,1,4,103029
3,0,0,1,2,111919,108090,0,2,4,4,2,2,4,21.92,6,0,2,-8,-8,1,49,2,-8,-8,-8,-8,-8,-8,-8,-8,23,1,1,1,1,2,1,2,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,1,-8,-8,-8,-8,40,2,5,1,2,2,5,1,2,2,1,6,2,1,4,1,2,3,3,2,2,6,3,2,2,2,4,1,1,2,1,1,1,2,-8,-8,-8,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,6,0,21,0,3,6,1,3,4,102043
1,0,0,1,2,124502,108092,0,2,1,1,1,2,4,15.52,11,0,2,-8,-8,1,4,1,4,3,-8,-8,-8,-8,-8,-8,3,1,1,1,2,1,2,2,1,1,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,10,5,2,2,40,3,3,2,2,2,1,2,2,2,1,11,2,1,2,3,2,2,4,2,2,5,5,1,1,2,1,1,2,3,1,2,3,1,-8,-8,-8,-8,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,3,1,2,9,0,4,3,1,1,4,102033
1,0,0,1,2,100662,108101,0,1,2,2,2,2,5,15.84,6,0,2,-8,-8,1,50,1,10,4,-8,-8,-8,-8,-8,-8,12,1,1,1,2,1,2,2,2,2,-8,-8,1,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,5,20,5,5,0,35,1,1,2,2,2,4,2,2,2,1,6,3,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,3,1,1,3,1,-8,-8,-8,-8,2,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,0,0,9,0,4,6,2,4,4,111188
2,2,0,2,2,121293,108115,0,4,2,2,5,2,4,17.3,30,0,1,1,0,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,14,1,1,2,1,1,1,1,1,1,-8,-8,-8,-8,-8,-8,1,1,1,-8,-8,-8,-8,-8,-8,2,-8,-8,-8,-8,38,1,1,2,2,2,4,2,2,2,2,31,4,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,0,0,16,0,3,2,1,3,5,104878
1,2,0,1,1,148698,108128,0,4,2,2,1,1,4,5.6,3,0,2,-8,-8,1,25,1,30,2,-8,-8,-8,-8,-8,-8,49,1,1,1,1,1,2,2,1,1,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,0,0,35,2,2,2,2,2,3,2,2,2,2,3,2,4,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4,1,1,4,2,-8,-8,-8,-8,2,2,1,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,2,12,0,10,5,3,1,2,3,4,109300
2,2,0,1,2,133022,108152,0,3,2,2,1,2,4,18.56,16,0,1,6,0,1,22,2,-8,-8,-8,-8,-8,-8,-8,-8,34,1,1,1,1,1,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,-8,-8,-8,1,-8,-8,-8,-8,38,4,5,1,2,2,3,1,2,2,1,22,2,1,3,1,5,3,3,4,6,4,4,3,4,3,3,1,1,1,1,1,1,2,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,2,1,8,13,0,4,3,1,3,4,104650
1,1,1,1,2,147782,108161,0,1,1,1,2,2,4,15.35,4,0,2,-8,-8,1,4,2,-8,-8,-8,-8,-8,-8,-8,-8,16,2,-8,1,2,1,1,2,2,2,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,-8,-8,4,0,5,5,5,35,4,3,2,2,2,1,2,1,2,2,4,2,1,3,4,5,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1,3,1,1,2,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,2,0,0,28,0,3,1,2,4,4,102472
1,0,0,1,2,133075,108164,0,4,1,1,1,2,4,13.4,18,1,2,-8,-8,1,19,2,-8,-8,-8,-8,-8,-8,-8,-8,3,1,1,1,1,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,1,-8,-8,-8,-8,-8,-8,3,10,5,4,4,38,1,1,2,2,2,1,2,2,2,1,19,3,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,-8,-8,-8,-8,2,2,2,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,2,13,4,0,5,2,2,4,1,108077
1,2,0,2,1,126314,108166,0,4,1,1,4,2,1,15.06,35,2,2,-8,-8,1,57,1,57,1,-8,-8,-8,-8,-8,-8,16,1,1,1,2,2,2,2,2,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1,-8,-8,-8,-8,15,4,1,2,1,2,1,1,2,2,2,37,3,1,3,1,2,2,2,2,4,4,2,1,2,2,2,1,1,3,1,1,3,2,-8,-8,-8,-8,2,2,2,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,3,3,15,10,19,3,3,1,4,1,106393
